parola,amore,aspettativa,attivazione,disgusto,dominanza,fiducia,gioia,neutrale,paura,rabbia,sorpresa,tristezza,valenza
alludere,0.21,0.54,5.5,0.25,5.0,0.25,0.17,0.0,0.29,0.46,0.29,0.08,4.83
allungare,0.33,0.54,4.83,0.08,5.67,0.38,0.29,0.0,0.17,0.04,0.5,0.29,5.33
alopecia,0.11,0.21,5.33,0.29,3.67,0.17,0.04,0.0,0.67,0.38,0.25,0.62,3.17
alpino,0.46,0.25,4.17,0.12,5.17,0.5,0.42,0.0,0.12,0.04,0.21,0.12,6.0
alquanto,0.02,0.17,4.5,0.0,4.83,0.04,0.0,0.0,0.0,0.0,0.04,0.0,5.0
alta,0.19,0.42,5.17,0.04,5.5,0.17,0.21,0.0,0.08,0.04,0.17,0.04,6.0
altare,0.53,0.25,4.5,0.17,5.0,0.38,0.67,0.0,0.17,0.25,0.42,0.17,5.67
alter_ego,0.12,0.12,3.17,0.17,5.67,0.08,0.17,0.0,0.21,0.17,0.33,0.25,4.67
alterare,0.0,0.0,6.67,0.25,3.5,0.0,0.0,0.0,0.17,0.38,0.17,0.17,4.33
alternare,0.19,0.33,4.83,0.29,5.33,0.21,0.17,0.0,0.29,0.21,0.29,0.29,4.83
alternativa,0.11,0.21,4.0,0.0,4.67,0.17,0.04,0.0,0.17,0.0,0.08,0.04,5.0
alternativo,0.14,0.29,5.67,0.0,5.67,0.08,0.21,0.0,0.12,0.08,0.5,0.17,5.67
altezza,0.23,0.25,5.33,0.04,3.67,0.25,0.21,0.0,0.42,0.0,0.25,0.0,4.83
alto,0.29,0.33,5.33,0.0,5.17,0.08,0.5,0.0,0.04,0.0,0.33,0.0,5.5
altrettanto,0.4,0.42,5.5,0.0,5.5,0.38,0.42,0.0,0.0,0.0,0.12,0.0,6.33
altrimenti,0.12,0.21,5.67,0.04,4.67,0.12,0.12,0.0,0.5,0.17,0.17,0.29,4.5
altro,0.12,0.29,4.83,0.04,5.0,0.12,0.12,0.0,0.33,0.12,0.5,0.04,4.83
altroieri,0.04,0.0,4.5,0.04,5.5,0.0,0.08,0.0,0.04,0.0,0.0,0.17,4.83
altrove,0.5,0.83,7.0,0.12,5.67,0.29,0.71,0.0,0.58,0.33,0.79,0.29,5.83
altura,0.02,0.08,5.0,0.0,5.0,0.04,0.0,0.0,0.25,0.0,0.04,0.0,5.0
alunno,0.36,0.62,5.67,0.12,3.67,0.17,0.54,0.0,0.42,0.25,0.25,0.42,4.5
alzare,0.38,0.29,5.5,0.0,5.67,0.33,0.42,0.0,0.0,0.0,0.29,0.0,6.0
amabilità,0.65,0.75,5.33,0.04,5.5,0.58,0.71,0.0,0.12,0.04,0.17,0.12,7.0
amante,0.33,0.38,7.0,0.0,6.0,0.38,0.29,0.0,0.17,0.0,0.29,0.08,6.67
amara,0.04,0.04,4.17,0.33,4.67,0.04,0.04,0.0,0.29,0.25,0.04,0.67,4.17
amare,0.9,0.58,6.67,0.04,4.33,0.83,0.96,0.0,0.33,0.21,0.29,0.42,7.83
amarezza,0.02,0.04,5.67,0.33,4.33,0.04,0.0,0.0,0.21,0.79,0.21,0.96,2.5
amaro,0.11,0.12,5.33,0.29,4.33,0.04,0.17,0.0,0.08,0.25,0.21,0.42,4.0
amato,0.73,0.71,4.67,0.12,4.83,0.54,0.92,0.0,0.21,0.17,0.33,0.08,7.67
ambientale,0.58,0.29,5.0,0.0,5.33,0.62,0.54,0.0,0.08,0.12,0.08,0.12,6.83
ambientare,0.23,0.42,4.83,0.0,5.0,0.25,0.21,0.0,0.17,0.0,0.21,0.04,5.83
ambiente,0.29,0.62,4.17,0.17,4.5,0.17,0.42,0.0,0.46,0.21,0.04,0.21,5.33
ambito,0.14,0.29,5.33,0.0,5.83,0.21,0.08,0.0,0.0,0.0,0.04,0.0,5.17
ambizione,0.38,0.83,6.5,0.0,6.17,0.21,0.54,0.0,0.42,0.04,0.33,0.12,6.33
ambizioso,0.58,0.88,7.67,0.0,6.67,0.75,0.42,0.0,0.33,0.0,0.33,0.17,7.17
ambulanza,0.18,0.42,6.0,0.04,3.0,0.33,0.04,0.0,1.0,0.29,0.54,0.83,3.33
americano,0.02,0.04,4.83,0.04,5.67,0.04,0.0,0.0,0.04,0.12,0.12,0.04,5.0
amica,0.88,0.67,4.67,0.04,5.5,0.83,0.92,0.0,0.17,0.17,0.62,0.21,7.67
amichevole,0.69,0.17,3.67,0.0,5.0,0.58,0.79,0.0,0.04,0.0,0.08,0.0,7.5
amicizia,0.85,0.58,4.5,0.0,6.0,0.79,0.92,0.0,0.0,0.04,0.17,0.04,7.5
amico,0.83,0.83,5.33,0.0,6.83,0.83,0.83,0.0,0.29,0.17,0.67,0.25,7.83
ammaestrare,0.11,0.25,4.67,0.25,5.0,0.17,0.04,0.0,0.21,0.38,0.04,0.29,3.33
ammalarsi,0.09,0.17,4.67,0.29,3.83,0.17,0.0,0.0,0.79,0.79,0.17,0.83,3.33
ammaliato,0.56,0.46,4.5,0.0,5.83,0.54,0.58,0.0,0.08,0.0,0.71,0.0,6.0
ammazzare,0.09,0.21,8.5,0.92,4.33,0.17,0.0,0.0,0.92,0.96,0.71,0.92,1.17
ammesso,0.56,0.58,5.83,0.0,5.33,0.5,0.62,0.0,0.17,0.04,0.42,0.04,5.83
ammettere,0.14,0.08,6.0,0.17,4.17,0.08,0.21,0.0,0.46,0.33,0.17,0.54,4.0
amministrativo,0.06,0.17,4.83,0.12,4.5,0.04,0.08,0.0,0.08,0.08,0.04,0.04,5.0
amministratore,0.31,0.62,5.17,0.17,4.17,0.58,0.04,0.0,0.21,0.25,0.04,0.08,5.0
amministrazione,0.17,0.25,4.83,0.04,6.0,0.25,0.08,0.0,0.04,0.04,0.08,0.04,5.33
ammiraglio,0.25,0.17,5.17,0.17,4.17,0.33,0.17,0.0,0.17,0.17,0.04,0.17,5.17
ammirare,0.55,0.42,5.17,0.0,5.5,0.42,0.67,0.0,0.04,0.0,0.54,0.04,7.5
ammissibile,0.18,0.17,5.33,0.0,5.17,0.08,0.29,0.0,0.04,0.21,0.17,0.04,5.0
ammissione,0.4,0.67,4.33,0.0,5.17,0.54,0.25,0.0,0.12,0.12,0.54,0.17,5.83
ammonizione,0.06,0.38,5.83,0.17,4.17,0.12,0.0,0.0,0.38,0.71,0.29,0.42,3.33
amnistia,0.08,0.25,4.83,0.04,4.5,0.04,0.12,0.0,0.29,0.04,0.17,0.04,5.33
amore,0.92,0.96,6.5,0.04,6.0,0.83,1.0,0.0,0.46,0.42,0.54,0.67,6.83
amoroso,0.55,0.71,6.33,0.0,5.83,0.42,0.67,0.0,0.08,0.04,0.25,0.08,6.5
ampiamente,0.71,0.58,4.67,0.21,5.83,0.67,0.75,0.0,0.21,0.33,0.17,0.04,6.0
ampio,0.08,0.25,4.67,0.17,5.33,0.04,0.12,0.0,0.12,0.12,0.17,0.12,5.5
ampliare,0.4,0.58,5.67,0.0,5.83,0.42,0.38,0.0,0.17,0.04,0.67,0.17,6.17
analisi,0.41,0.67,5.83,0.17,5.0,0.58,0.25,0.0,0.54,0.29,0.17,0.17,6.0
analista,0.21,0.33,4.67,0.12,4.67,0.33,0.08,0.0,0.17,0.12,0.08,0.25,4.67
analitico,0.04,0.29,5.0,0.0,5.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,5.0
analizzare,0.21,0.33,4.17,0.0,5.17,0.25,0.17,0.0,0.04,0.04,0.21,0.0,5.17
analogo,0.11,0.33,4.0,0.0,5.0,0.17,0.04,0.0,0.04,0.0,0.17,0.0,5.17
anarchismo,0.08,0.21,5.5,0.0,5.17,0.12,0.04,0.0,0.33,0.29,0.04,0.0,4.67
ancora,0.42,0.42,5.5,0.0,5.5,0.42,0.42,0.0,0.0,0.0,0.25,0.04,5.33
ancorare,0.23,0.17,4.0,0.04,4.5,0.29,0.17,0.0,0.29,0.12,0.04,0.17,4.5
andamento,0.21,0.42,2.83,0.0,4.67,0.17,0.25,0.0,0.04,0.0,0.0,0.04,5.33
andare,0.25,0.29,3.33,0.0,4.67,0.21,0.29,0.0,0.04,0.0,0.04,0.12,4.83
andare_avanti,0.35,0.67,4.67,0.04,4.5,0.42,0.29,0.0,0.33,0.08,0.17,0.54,5.0
anello,0.62,0.67,5.67,0.0,6.17,0.67,0.58,0.0,0.0,0.0,0.54,0.0,7.17
anfetamine,0.1,0.25,6.0,0.75,3.17,0.0,0.21,0.0,0.42,0.33,0.12,0.5,4.17
angelica,0.88,0.25,4.17,0.0,4.67,0.79,0.96,0.0,0.04,0.0,0.54,0.04,7.67
angelico,0.65,0.62,4.83,0.0,5.67,0.54,0.75,0.0,0.04,0.04,0.42,0.04,5.17
angelo,0.42,0.33,2.67,0.0,5.0,0.42,0.42,0.0,0.0,0.0,0.25,0.08,6.83
angolare,0.0,0.12,4.0,0.04,4.83,0.0,0.0,0.0,0.0,0.0,0.04,0.0,5.0
angolo,0.0,0.0,4.83,0.12,5.17,0.0,0.0,0.0,0.12,0.17,0.0,0.12,4.33
angoscia,0.02,0.17,8.0,0.46,2.33,0.04,0.0,0.0,0.79,0.67,0.04,0.79,1.83
angosciare,0.0,0.42,6.67,0.58,4.17,0.0,0.0,0.0,0.75,0.71,0.25,0.75,2.5
angosciato,0.02,0.5,7.67,0.29,2.33,0.04,0.0,0.0,0.96,0.58,0.21,0.83,1.5
angustia,0.08,0.17,5.33,0.25,4.33,0.12,0.04,0.0,0.67,0.29,0.08,0.67,3.33
anima,0.42,0.38,4.67,0.12,4.83,0.42,0.42,0.0,0.08,0.17,0.25,0.08,6.17
animale,0.73,0.54,6.17,0.17,5.33,0.67,0.79,0.0,0.62,0.21,0.33,0.33,7.17
animalista,0.29,0.17,5.5,0.04,4.5,0.42,0.17,0.0,0.0,0.08,0.0,0.04,5.33
animare,0.47,0.33,4.67,0.0,5.83,0.33,0.62,0.0,0.0,0.0,0.21,0.0,6.83
animato,0.43,0.29,5.5,0.0,6.33,0.04,0.83,0.0,0.04,0.0,0.42,0.08,6.0
animo,0.35,0.04,4.67,0.12,5.5,0.29,0.42,0.0,0.42,0.17,0.08,0.46,5.33
animosità,0.02,0.25,6.67,0.46,5.67,0.0,0.04,0.0,0.46,0.75,0.42,0.29,3.33
annichilire,0.0,0.0,6.17,0.33,3.5,0.0,0.0,0.0,0.46,0.46,0.04,0.83,3.17
annidarsi,0.12,0.17,4.33,0.17,6.83,0.17,0.08,0.0,0.46,0.0,0.0,0.17,3.67
annientamento,0.0,0.17,5.17,0.62,1.67,0.0,0.0,0.0,0.92,0.96,0.04,0.75,1.33
anniversario,0.58,0.71,7.0,0.0,6.17,0.33,0.83,0.0,0.0,0.08,0.58,0.33,7.17
anno,0.31,0.54,4.5,0.0,4.83,0.33,0.29,0.0,0.17,0.04,0.17,0.25,5.33
annodare,0.11,0.25,5.33,0.0,5.17,0.17,0.04,0.0,0.17,0.0,0.0,0.04,5.17
annoiare,0.02,0.17,4.67,0.25,4.67,0.0,0.04,0.0,0.04,0.21,0.0,0.42,3.67
annotare,0.02,0.17,3.33,0.0,5.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.33
annuale,0.14,0.29,5.33,0.0,5.0,0.21,0.08,0.0,0.0,0.25,0.0,0.21,5.0
annuario,0.14,0.04,4.33,0.0,4.83,0.04,0.25,0.0,0.0,0.0,0.17,0.17,5.17
annuire,0.38,0.21,4.5,0.0,5.33,0.42,0.33,0.0,0.17,0.04,0.04,0.17,5.33
annullare,0.04,0.17,5.0,0.21,4.67,0.04,0.04,0.0,0.04,0.33,0.17,0.33,4.33
annunciare,0.48,0.67,5.5,0.12,5.0,0.54,0.42,0.0,0.17,0.04,0.62,0.25,6.0
annuncio,0.48,0.75,7.0,0.0,4.83,0.54,0.42,0.0,0.08,0.04,0.83,0.12,5.67
annunziata,0.38,0.54,6.33,0.0,5.17,0.38,0.38,0.0,0.0,0.0,0.67,0.04,6.5
anonimato,0.18,0.17,5.17,0.25,4.17,0.29,0.08,0.0,0.5,0.17,0.04,0.08,4.17
anonimo,0.06,0.12,4.33,0.0,4.83,0.12,0.0,0.0,0.08,0.04,0.17,0.04,4.67
ansia,0.11,0.58,7.67,0.29,3.67,0.17,0.04,0.0,0.92,0.58,0.54,0.75,3.0
ansioso,0.11,0.46,7.17,0.08,4.83,0.17,0.04,0.0,0.88,0.42,0.21,0.79,1.67
antagonismo,0.04,0.17,5.83,0.33,4.83,0.04,0.04,0.0,0.29,0.58,0.21,0.33,4.0
antecedente,0.21,0.58,4.17,0.04,5.0,0.25,0.17,0.0,0.29,0.17,0.17,0.08,5.0
antenna,0.08,0.12,5.0,0.0,5.67,0.12,0.04,0.0,0.0,0.0,0.04,0.0,5.0
anteprima,0.2,0.38,3.17,0.0,5.33,0.12,0.29,0.0,0.0,0.0,0.58,0.0,5.83
anteriore,0.02,0.04,4.0,0.0,5.67,0.04,0.0,0.0,0.0,0.0,0.04,0.0,5.17
antica,0.18,0.12,4.83,0.04,5.0,0.12,0.25,0.0,0.04,0.04,0.12,0.12,5.33
anticipare,0.19,0.75,5.83,0.0,5.33,0.17,0.21,0.0,0.17,0.04,0.21,0.04,5.17
anticipatore,0.08,0.58,4.67,0.21,3.83,0.08,0.08,0.0,0.42,0.17,0.33,0.17,4.83
anticipazione,0.31,0.79,6.17,0.0,5.17,0.58,0.04,0.0,0.21,0.0,0.54,0.0,5.33
anticipo,0.4,0.83,6.83,0.0,5.0,0.25,0.54,0.0,0.33,0.17,0.67,0.04,6.0
anticlericalismo,0.25,0.58,6.17,0.25,5.33,0.33,0.17,0.0,0.25,0.33,0.21,0.04,4.83
antico,0.04,0.21,4.33,0.17,5.5,0.04,0.04,0.0,0.21,0.12,0.29,0.17,5.5
antimafia,0.35,0.33,5.33,0.17,3.67,0.46,0.25,0.0,0.17,0.21,0.12,0.25,6.5
antimicotico,0.06,0.38,3.83,0.42,4.17,0.08,0.04,0.0,0.17,0.08,0.04,0.17,4.17
antinomia,0.02,0.12,4.33,0.0,4.33,0.04,0.0,0.0,0.04,0.12,0.17,0.04,4.5
antipatia,0.14,0.12,5.67,0.42,5.0,0.25,0.04,0.0,0.25,0.46,0.04,0.38,3.33
antipatico,0.0,0.0,5.83,0.83,5.5,0.0,0.0,0.0,0.25,0.83,0.12,0.58,4.0
antisettico,0.17,0.42,4.33,0.08,4.67,0.17,0.17,0.0,0.17,0.12,0.17,0.04,5.33
antisportivo,0.09,0.04,6.33,0.79,5.17,0.17,0.0,0.0,0.04,0.71,0.08,0.58,2.5
antrace,0.08,0.12,5.0,0.42,4.5,0.12,0.04,0.0,0.17,0.25,0.0,0.12,4.17
antropologia,0.35,0.58,2.5,0.12,5.67,0.58,0.12,0.0,0.04,0.04,0.12,0.04,5.83
anziana,0.41,0.17,4.0,0.04,5.33,0.58,0.25,0.0,0.42,0.0,0.08,0.42,5.67
anzianità,0.23,0.04,4.5,0.04,5.17,0.17,0.29,0.0,0.46,0.17,0.0,0.29,5.0
anziano,0.4,0.71,5.0,0.17,3.67,0.33,0.46,0.0,0.21,0.17,0.17,0.54,3.67
ape,0.29,0.25,6.0,0.0,4.33,0.29,0.29,0.0,0.42,0.0,0.33,0.04,6.33
aperto,0.31,0.29,4.5,0.04,5.0,0.33,0.29,0.0,0.25,0.04,0.17,0.0,6.0
apertura,0.83,0.67,6.17,0.04,5.67,0.83,0.83,0.0,0.17,0.08,0.42,0.08,6.0
apnea,0.06,0.25,5.33,0.04,4.33,0.08,0.04,0.0,0.71,0.21,0.42,0.21,4.0
apostrofare,0.08,0.21,4.67,0.33,5.5,0.08,0.08,0.0,0.42,0.67,0.5,0.25,4.17
app,0.33,0.62,3.83,0.25,5.83,0.12,0.54,0.0,0.12,0.12,0.25,0.08,5.5
appagamento,0.75,0.54,3.0,0.0,6.67,0.54,0.96,0.0,0.0,0.0,0.42,0.0,7.83
appagato,0.56,0.58,4.5,0.04,5.83,0.17,0.96,0.0,0.04,0.04,0.21,0.04,7.0
appalto,0.02,0.42,4.67,0.0,4.83,0.04,0.0,0.0,0.08,0.0,0.04,0.04,5.0
apparato,0.04,0.04,4.33,0.0,5.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,5.0
apparecchio,0.0,0.04,4.83,0.04,4.83,0.0,0.0,0.0,0.04,0.0,0.04,0.0,5.0
apparente,0.12,0.33,5.83,0.17,4.5,0.12,0.12,0.0,0.21,0.17,0.33,0.17,4.0
apparentemente,0.28,0.42,5.5,0.08,4.67,0.38,0.17,0.0,0.17,0.08,0.58,0.21,4.83
apparenza,0.12,0.58,4.0,0.29,4.33,0.21,0.04,0.0,0.42,0.04,0.25,0.17,4.83
apparire,0.32,0.67,5.0,0.08,4.67,0.21,0.42,0.0,0.38,0.17,0.42,0.29,4.83
apparizione,0.32,0.42,6.33,0.04,5.17,0.25,0.38,0.0,0.42,0.08,0.92,0.17,5.33
apparso,0.28,0.29,5.0,0.25,4.67,0.17,0.38,0.0,0.25,0.04,0.96,0.25,5.33
appartamento,0.4,0.58,4.17,0.04,5.83,0.42,0.38,0.0,0.0,0.0,0.08,0.04,6.17
appartenenza,0.65,0.29,4.33,0.0,7.17,0.54,0.75,0.0,0.0,0.04,0.25,0.0,7.0
appartenere,0.75,0.46,5.17,0.04,5.17,0.79,0.71,0.0,0.17,0.21,0.08,0.21,6.5
appassionare,0.6,0.67,6.5,0.04,6.67,0.29,0.92,0.0,0.04,0.12,0.46,0.04,8.0
appassionato,0.58,0.5,6.17,0.0,6.5,0.54,0.62,0.0,0.0,0.0,0.21,0.0,7.0
appassire,0.02,0.12,3.0,0.25,3.5,0.04,0.0,0.0,0.25,0.42,0.08,1.0,2.17
appello,0.08,0.21,5.33,0.0,6.17,0.12,0.04,0.0,0.04,0.0,0.17,0.04,4.83
appena,0.15,0.21,5.17,0.0,5.17,0.17,0.12,0.0,0.12,0.04,0.21,0.04,5.0
appendere,0.06,0.17,3.0,0.04,4.0,0.08,0.04,0.0,0.04,0.04,0.04,0.04,5.83
appendiabiti,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
applauso,0.5,0.62,6.0,0.12,6.67,0.04,0.96,0.0,0.04,0.17,0.79,0.08,7.33
applicare,0.6,0.46,5.33,0.29,5.67,0.67,0.54,0.0,0.08,0.17,0.29,0.04,5.83
applicazione,0.45,0.62,4.83,0.04,5.33,0.62,0.29,0.0,0.08,0.12,0.21,0.17,4.83
appoggiare,0.08,0.17,3.83,0.0,5.67,0.04,0.12,0.0,0.04,0.0,0.12,0.0,5.83
appoggio,0.69,0.67,5.67,0.04,6.67,0.92,0.46,0.0,0.04,0.08,0.21,0.12,6.5
apposito,0.12,0.42,3.33,0.0,4.33,0.17,0.08,0.0,0.0,0.04,0.08,0.0,5.33
apposta,0.12,0.04,5.17,0.12,4.67,0.17,0.08,0.0,0.12,0.17,0.0,0.17,4.67
apprendere,0.69,0.75,6.17,0.17,7.67,0.46,0.92,0.0,0.17,0.17,0.67,0.17,7.67
apprendimento,0.38,0.58,5.0,0.0,5.83,0.33,0.42,0.0,0.04,0.0,0.21,0.0,6.0
apprensione,0.14,0.67,6.5,0.21,2.67,0.21,0.08,0.0,0.96,0.21,0.29,0.33,3.17
apprensivo,0.0,0.08,6.17,0.0,4.33,0.0,0.0,0.0,0.54,0.04,0.08,0.08,3.5
apprezzare,0.69,0.58,6.5,0.0,5.83,0.67,0.71,0.0,0.0,0.0,0.54,0.0,7.83
approccio,0.38,0.54,4.83,0.0,4.5,0.54,0.21,0.0,0.17,0.0,0.12,0.04,5.33
approdare,0.58,0.58,5.0,0.0,7.0,0.46,0.71,0.0,0.21,0.12,0.38,0.08,6.0
approfittare,0.18,0.42,5.83,0.58,4.33,0.33,0.04,0.0,0.54,0.71,0.54,0.79,2.5
approfondimento,0.25,0.54,5.33,0.0,6.33,0.29,0.21,0.0,0.0,0.0,0.21,0.0,5.5
approfondire,0.65,0.83,4.0,0.04,5.17,0.67,0.62,0.0,0.17,0.04,0.42,0.12,7.0
appropriare,0.33,0.29,5.0,0.08,5.0,0.25,0.42,0.0,0.17,0.21,0.21,0.17,4.67
approvare,0.44,0.29,4.33,0.04,6.0,0.42,0.46,0.0,0.04,0.04,0.25,0.04,6.17
approvazione,0.73,0.96,4.83,0.0,4.67,0.79,0.67,0.0,0.12,0.12,0.58,0.12,6.5
appuntamento,0.48,0.67,6.33,0.04,5.0,0.25,0.71,0.0,0.58,0.04,0.17,0.17,6.67
appunto,0.02,0.08,4.5,0.21,5.33,0.04,0.0,0.0,0.33,0.21,0.17,0.17,5.17
aprile,0.5,0.83,4.83,0.04,6.0,0.29,0.71,0.0,0.04,0.04,0.5,0.17,6.83
aprire,0.48,0.71,6.83,0.0,6.5,0.42,0.54,0.0,0.38,0.0,0.79,0.04,6.67
aquilone,0.67,0.33,5.0,0.0,6.33,0.42,0.92,0.0,0.0,0.0,0.67,0.0,7.83
arabo,0.15,0.17,5.33,0.0,5.0,0.17,0.12,0.0,0.0,0.0,0.04,0.12,5.0
arbitraggio,0.42,0.29,4.33,0.04,4.83,0.67,0.17,0.0,0.12,0.12,0.29,0.04,5.17
arbitro,0.38,0.67,4.33,0.04,6.83,0.71,0.04,0.0,0.0,0.08,0.04,0.0,6.0
arcangelo,0.5,0.21,4.33,0.17,4.83,0.71,0.29,0.0,0.17,0.29,0.29,0.08,5.67
architettare,0.52,0.42,6.5,0.08,6.5,0.5,0.54,0.0,0.21,0.17,0.33,0.08,5.67
architetto,0.33,0.46,3.83,0.04,5.5,0.58,0.08,0.0,0.0,0.0,0.12,0.0,5.33
architettonico,0.14,0.21,4.33,0.0,5.5,0.21,0.08,0.0,0.04,0.0,0.08,0.04,5.5
architettura,0.18,0.33,5.17,0.12,4.67,0.08,0.29,0.0,0.08,0.12,0.04,0.12,6.33
archiviare,0.12,0.17,4.17,0.04,5.17,0.08,0.17,0.0,0.08,0.04,0.17,0.08,5.17
archivio,0.21,0.38,3.5,0.0,6.17,0.25,0.17,0.0,0.04,0.0,0.46,0.08,6.0
arco,0.04,0.17,4.5,0.0,5.0,0.0,0.08,0.0,0.04,0.0,0.04,0.04,5.5
ardire,0.48,0.58,7.0,0.17,6.67,0.42,0.54,0.0,0.08,0.29,0.25,0.04,5.0
ardito,0.23,0.33,4.5,0.04,5.17,0.25,0.21,0.0,0.17,0.17,0.33,0.17,5.17
area,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.04,0.0,0.12,0.0,5.0
argentino,0.02,0.0,4.33,0.0,5.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,5.17
argento,0.48,0.58,4.33,0.0,5.33,0.25,0.71,0.0,0.0,0.0,0.38,0.0,7.17
argine,0.35,0.33,5.17,0.21,4.17,0.42,0.29,0.0,0.54,0.54,0.21,0.33,4.83
argomentare,0.44,0.62,6.0,0.17,5.5,0.33,0.54,0.0,0.29,0.33,0.29,0.04,5.67
argomentazione,0.42,0.75,5.33,0.08,5.67,0.42,0.42,0.0,0.17,0.29,0.29,0.08,5.83
argomento,0.04,0.21,4.17,0.04,5.5,0.04,0.04,0.0,0.17,0.04,0.21,0.04,4.83
aria,0.46,0.29,8.0,0.33,6.5,0.17,0.75,0.0,0.17,0.21,0.17,0.25,6.0
arma,0.0,0.04,6.33,0.17,5.33,0.0,0.0,0.0,0.67,0.33,0.08,0.21,3.17
armadietto,0.15,0.04,5.0,0.0,5.0,0.17,0.12,0.0,0.12,0.04,0.04,0.04,5.0
armadio,0.04,0.04,5.0,0.0,5.17,0.08,0.0,0.0,0.04,0.0,0.0,0.0,5.0
armamento,0.0,0.04,5.0,0.21,4.5,0.0,0.0,0.0,0.46,0.38,0.0,0.21,4.17
armare,0.12,0.08,6.0,0.21,4.83,0.21,0.04,0.0,0.42,0.33,0.08,0.42,3.0
armato,0.12,0.25,5.33,0.71,2.17,0.25,0.0,0.0,1.0,1.0,0.12,0.83,2.5
armonia,0.92,0.29,6.5,0.0,6.67,0.83,1.0,0.0,0.0,0.0,0.25,0.0,7.83
aromaterapia,0.45,0.33,2.33,0.04,5.0,0.33,0.58,0.0,0.0,0.0,0.29,0.08,6.17
arrabbiarsi,0.17,0.25,7.0,0.21,2.83,0.17,0.17,0.0,0.58,0.83,0.29,0.42,3.33
arrabbiato,0.02,0.33,7.83,0.46,4.67,0.0,0.04,0.0,0.21,1.0,0.17,0.25,2.83
arrabbiatura,0.02,0.0,6.83,0.29,5.33,0.04,0.0,0.0,0.25,1.0,0.17,0.33,1.83
arrampicarsi,0.35,0.67,5.5,0.04,5.67,0.33,0.38,0.0,0.33,0.04,0.33,0.04,6.17
arrecare,0.19,0.17,5.33,0.29,5.0,0.17,0.21,0.0,0.29,0.33,0.21,0.62,4.17
arredamento,0.2,0.21,5.17,0.08,5.67,0.12,0.29,0.0,0.04,0.04,0.0,0.04,5.33
arrendersi,0.11,0.33,6.5,0.58,1.33,0.17,0.04,0.0,0.88,0.75,0.04,0.83,2.0
arrestare,0.12,0.04,5.0,0.17,3.83,0.12,0.12,0.0,0.46,0.58,0.29,0.67,2.67
arresto,0.11,0.17,5.67,0.71,4.83,0.17,0.04,0.0,0.67,0.75,0.17,0.38,4.5
arretrare,0.06,0.25,7.0,0.17,3.33,0.08,0.04,0.0,0.75,0.71,0.17,0.42,3.5
arricchire,0.75,0.75,6.0,0.25,7.67,0.71,0.79,0.0,0.17,0.21,0.58,0.04,7.17
arringare,0.02,0.29,5.5,0.04,5.5,0.04,0.0,0.0,0.04,0.04,0.0,0.04,5.17
arrivare,0.73,0.88,7.5,0.04,6.17,0.67,0.79,0.0,0.29,0.04,0.62,0.17,7.67
arrivederci,0.29,0.42,5.33,0.04,5.33,0.25,0.33,0.0,0.17,0.17,0.12,0.67,4.67
arrivo,0.43,0.42,4.33,0.0,6.0,0.29,0.58,0.0,0.17,0.17,0.54,0.25,6.33
arrossare,0.21,0.08,6.33,0.04,4.0,0.17,0.25,0.0,0.29,0.58,0.79,0.42,5.0
arrossire,0.5,0.62,7.17,0.25,4.33,0.42,0.58,0.0,0.58,0.29,0.92,0.12,6.83
arruffare,0.29,0.17,4.83,0.21,4.0,0.29,0.29,0.0,0.17,0.21,0.29,0.17,5.33
arte,0.6,0.42,6.67,0.21,5.83,0.29,0.92,0.0,0.46,0.38,0.67,0.46,7.0
arteria,0.09,0.17,4.17,0.12,4.5,0.17,0.0,0.0,0.29,0.12,0.17,0.04,4.67
articolare,0.25,0.54,2.83,0.04,6.67,0.25,0.25,0.0,0.04,0.04,0.17,0.0,6.0
articolazione,0.02,0.04,3.67,0.0,4.33,0.0,0.04,0.0,0.0,0.0,0.12,0.04,5.17
articolista,0.02,0.04,3.33,0.0,4.67,0.04,0.0,0.0,0.0,0.0,0.04,0.0,5.33
articolo,0.21,0.38,5.0,0.0,5.33,0.25,0.17,0.0,0.0,0.0,0.17,0.0,6.17
artificiale,0.23,0.54,5.83,0.42,4.17,0.29,0.17,0.0,0.21,0.21,0.42,0.29,4.5
artigiano,0.35,0.42,5.33,0.0,5.0,0.5,0.21,0.0,0.0,0.0,0.33,0.0,6.17
artiglio,0.09,0.04,5.83,0.04,4.83,0.17,0.0,0.0,0.62,0.04,0.29,0.04,3.33
artista,0.6,0.75,5.33,0.29,5.83,0.62,0.58,0.0,0.33,0.29,0.75,0.29,7.33
artistico,0.4,0.42,6.0,0.17,5.83,0.17,0.62,0.0,0.17,0.25,0.67,0.17,7.33
ascendere,0.52,0.67,6.5,0.04,5.5,0.42,0.62,0.0,0.17,0.04,0.46,0.04,6.83
ascensione,0.42,0.29,5.17,0.04,4.5,0.42,0.42,0.0,0.12,0.0,0.29,0.0,5.33
ascensore,0.1,0.21,5.33,0.21,4.0,0.12,0.08,0.0,0.67,0.04,0.17,0.04,4.17
